ticker,name,module,margin_years,span,first_year,last_year,median_margin,latest_margin,mid_cycle_oe,uncapped_base_oe,base_oe_used,span_ok,cap_bound
AIT,APPLIED INDUSTRIAL TECHNOLOGIES INC,industrials,15,15,2012,2026,0.0839,0.0839,416835000,392988000,392988000,yes,no
CHRW,"C. H. ROBINSON WORLDWIDE, INC.",industrials,15,15,2011,2025,0.0391,0.0413,635509252,540197000,540197000,yes,no
CMI,CUMMINS INC,industrials,15,15,2011,2025,0.0903,0.0878,3041003070,2791608475,2791608475,yes,no
DCI,DONALDSON Co INC,industrials,15,15,2011,2025,0.1021,0.1050,376730423,387600000,376730423,yes,yes
EME,"EMCOR Group, Inc.",industrials,15,15,2011,2025,0.0302,0.0749,513607860,1007145000,513607860,yes,yes
FIX,COMFORT SYSTEMS USA INC,industrials,15,15,2011,2025,0.0437,0.1123,397868373,522433000,397868373,yes,yes
FSS,FEDERAL SIGNAL CORP /DE/,industrials,15,15,2011,2025,0.0936,0.1374,204174744,241000000,204174744,yes,yes
ITT,ITT INC.,industrials,15,15,2011,2025,0.1233,0.1295,485724593,502861503,485724593,yes,yes
LECO,LINCOLN ELECTRIC HOLDINGS INC,industrials,15,15,2011,2025,0.0951,0.1230,402753001,520533000,402753001,yes,yes
SSD,"Simpson Manufacturing Co., Inc.",industrials,15,15,2011,2025,0.1229,0.1479,286711046,345083000,286711046,yes,yes
TOL,"Toll Brothers, Inc.",industrials,9,9,2017,2025,0.1047,0.1228,1148602610,1100015139,1100015139,NO - shorter than a cycle,no
WTS,WATTS WATER TECHNOLOGIES INC,industrials,15,15,2011,2025,0.0776,0.1443,189118719,310300000,189118719,yes,yes
