ticker,name,module,durability,label,source,coverage,margin_of_safety,Excess return level,Persistence of excess return,Trend in excess return,Operating margin stability,Gross profitability,Revenue growth vs sector
COST,COSTCO WHOLESALE CORP /NEW,consumer,100.0,wide,computed,100/100,0.30,"25/25 — median ROIC 34.5%, +24.5% vs 10%",25/25 — 10/10 years above 10%,15/15 — +2.21 ROIC points per year,10/10 — std dev 0.2%,10/10 — median GP/assets 44.4%,15/15 — 9.0% vs sector median 5.2% (+3.8%)
LULU,lululemon athletica inc.,consumer,98.0,wide,computed,100/100,0.30,"25/25 — median ROIC 57.6%, +47.6% vs 10%",25/25 — 10/10 years above 10%,15/15 — +0.79 ROIC points per year,8/10 — std dev 2.3%,10/10 — median GP/assets 73.7%,15/15 — 18.3% vs sector median 5.2% (+13.1%)
ULTA,"Ulta Beauty, Inc.",consumer,98.0,wide,computed,100/100,0.30,"25/25 — median ROIC 49.5%, +39.5% vs 10%",25/25 — 10/10 years above 10%,15/15 — +4.33 ROIC points per year,8/10 — std dev 3.2%,10/10 — median GP/assets 71.4%,15/15 — 12.2% vs sector median 5.2% (+6.9%)
ADBE,ADOBE INC.,software,96.0,wide,computed,100/100,0.31,"25/25 — median ROIC 43.0%, +33.0% vs 10%",25/25 — 10/10 years above 10%,13/15 — +0.39 ROIC points per year,8/10 — std dev 3.3%,10/10 — median GP/assets 48.5%,15/15 — 17.4% vs sector median 7.1% (+10.2%)
SFM,"Sprouts Farmers Market, Inc.",consumer,96.0,wide,computed,100/100,0.31,"21/25 — median ROIC 26.5%, +16.5% vs 10%",25/25 — 10/10 years above 10%,15/15 — +2.46 ROIC points per year,10/10 — std dev 1.1%,10/10 — median GP/assets 81.5%,15/15 — 9.4% vs sector median 5.2% (+4.1%)
LOGI,LOGITECH INTERNATIONAL S.A.,software,94.0,wide,computed,100/100,0.31,"25/25 — median ROIC 35.7%, +25.7% vs 10%",25/25 — 10/10 years above 10%,15/15 — +1.61 ROIC points per year,8/10 — std dev 3.9%,10/10 — median GP/assets 55.1%,11/15 — 9.1% vs sector median 7.1% (+2.0%)
GWW,"W.W. GRAINGER, INC.",industrials,90.0,wide,computed,100/100,0.32,"21/25 — median ROIC 27.3%, +17.3% vs 10%",25/25 — 10/10 years above 10%,15/15 — +2.32 ROIC points per year,8/10 — std dev 2.3%,10/10 — median GP/assets 73.6%,11/15 — 6.0% vs sector median 4.8% (+1.3%)
CMI,CUMMINS INC,industrials,89.0,wide,computed,100/100,0.32,"25/25 — median ROIC 33.9%, +23.9% vs 10%",25/25 — 10/10 years above 10%,13/15 — +0.05 ROIC points per year,10/10 — std dev 1.9%,5/10 — median GP/assets 26.3%,11/15 — 5.8% vs sector median 4.8% (+1.0%)
GOOG,Alphabet Inc.,software,89.0,wide,computed,100/100,0.32,"21/25 — median ROIC 26.1%, +16.1% vs 10%",25/25 — 10/10 years above 10%,15/15 — +0.85 ROIC points per year,5/10 — std dev 4.1%,8/10 — median GP/assets 36.8%,15/15 — 18.3% vs sector median 7.1% (+11.2%)
GGG,GRACO INC,industrials,86.0,wide,computed,100/100,0.33,"25/25 — median ROIC 32.2%, +22.2% vs 10%",25/25 — 10/10 years above 10%,13/15 — +0.01 ROIC points per year,5/10 — std dev 5.4%,10/10 — median GP/assets 43.2%,8/15 — 5.7% vs sector median 4.8% (+0.9%)
