ticker,field,fiscal_year,current_parser,edgartools,verdict
A,revenue,2007,5420000000.0,,only current parser
A,revenue,2008,5774000000.0,,only current parser
A,revenue,2018,4914000000.0,,only current parser
A,revenue,2019,5163000000.0,,only current parser
A,revenue,2020,5339000000.0,,only current parser
A,revenue,2021,6319000000.0,,only current parser
A,revenue,2022,6848000000.0,,only current parser
A,revenue,2023,6833000000.0,,only current parser
A,revenue,2024,6510000000.0,,only current parser
A,revenue,2025,6948000000.0,,only current parser
A,operating_income,2008,795000000.0,887000000.0,DISAGREE
A,operating_income,2009,47000000.0,391000000.0,DISAGREE
A,operating_income,2010,566000000.0,938000000.0,DISAGREE
A,operating_income,2011,1071000000.0,300000000.0,DISAGREE
A,operating_income,2012,1119000000.0,213000000.0,DISAGREE
A,operating_income,2013,386000000.0,94000000.0,DISAGREE
A,operating_income,2014,419000000.0,107000000.0,DISAGREE
A,operating_income,2015,522000000.0,131000000.0,DISAGREE
A,operating_income,2016,615000000.0,201000000.0,DISAGREE
A,operating_income,2017,807000000.0,210000000.0,DISAGREE
A,operating_income,2018,904000000.0,216000000.0,DISAGREE
A,operating_income,2019,941000000.0,102000000.0,DISAGREE
A,operating_income,2020,846000000.0,288000000.0,DISAGREE
A,operating_income,2021,1347000000.0,360000000.0,DISAGREE
A,operating_income,2022,1618000000.0,383000000.0,DISAGREE
A,operating_income,2023,1350000000.0,363000000.0,DISAGREE
A,operating_income,2024,1488000000.0,300000000.0,DISAGREE
A,operating_income,2025,1479000000.0,399000000.0,DISAGREE
A,operating_income,2026,,444000000.0,only EdgarTools
A,net_income,2007,638000000.0,2000000.0,DISAGREE
A,net_income,2008,693000000.0,3000000.0,DISAGREE
A,net_income,2009,-31000000.0,7000000.0,DISAGREE
A,net_income,2010,684000000.0,648000000.0,DISAGREE
A,net_income,2011,1012000000.0,9000000.0,DISAGREE
A,net_income,2012,1153000000.0,,only current parser
A,net_income,2013,734000000.0,,only current parser
A,net_income,2014,549000000.0,,only current parser
A,net_income,2015,401000000.0,91000000.0,DISAGREE
A,net_income,2016,462000000.0,164000000.0,DISAGREE
A,net_income,2017,684000000.0,205000000.0,DISAGREE
A,net_income,2018,316000000.0,182000000.0,DISAGREE
A,net_income,2019,1071000000.0,101000000.0,DISAGREE
A,net_income,2020,719000000.0,216000000.0,DISAGREE
A,net_income,2021,1210000000.0,274000000.0,DISAGREE
A,net_income,2022,1254000000.0,302000000.0,DISAGREE
A,net_income,2023,1240000000.0,308000000.0,DISAGREE
A,net_income,2024,1289000000.0,215000000.0,DISAGREE
A,net_income,2025,1303000000.0,339000000.0,DISAGREE
A,net_income,2026,,362000000.0,only EdgarTools
A,total_assets,2007,,-13000000.0,only EdgarTools
A,total_assets,2008,7007000000.0,339000000.0,DISAGREE
A,total_assets,2009,7612000000.0,3566000000.0,DISAGREE
A,total_assets,2010,9696000000.0,5779000000.0,DISAGREE
A,total_assets,2011,9057000000.0,5770000000.0,DISAGREE
A,total_assets,2012,10536000000.0,501000000.0,DISAGREE
