ticker,name,module,moat,durability,moat_source,margin_of_safety,score,points,priced,valuation_coverage,lens_c_veto,owner_earnings_yield,hurdle,clears_hurdle,price,buy_price,discount_to_iv,ev_ebit_vs_history_sd,market_cap
YUMC,"Yum China Holdings, Inc.",consumer,narrow,69.0,computed,0.36,83.6,58/70,yes,20/20,,0.0693,0.0800,no,42.33,31.39,0.140,-0.73,14496253523
TOL,"Toll Brothers, Inc.",industrials,uncertain,51.0,computed,0.40,82.1,58/70,yes,20/20,,0.0984,0.0800,yes,134.93,132.93,0.389,-0.16,12433855220
SFM,"Sprouts Farmers Market, Inc.",consumer,wide,89.0,computed,0.32,81.4,57/70,yes,20/20,,0.0560,0.0600,no,72.76,49.14,-0.004,-0.61,6784697394
ADBE,ADOBE INC.,software,wide,91.0,computed,0.32,78.6,55/70,yes,20/20,,0.0624,0.0600,yes,252.23,197.84,0.131,-2.37,100261423301
GL,GLOBE LIFE INC.,financials,uncertain,34.4,computed,0.43,77.3,50/64,yes,20/20,,0.0699,0.0800,no,171.03,136.55,0.287,0.08,13143560826
ULTA,"Ulta Beauty, Inc.",consumer,wide,95.0,computed,0.31,77.1,54/70,yes,20/20,,0.0523,0.0600,no,546.78,358.53,-0.052,-0.14,23378931246
SEIC,SEI INVESTMENTS CO,fee_business,narrow,66.7,computed,0.37,68.0,44/64,yes,20/20,,0.0336,0.0800,no,106.93,39.64,-0.708,0.57,12833651167
COST,COSTCO WHOLESALE CORP /NEW,consumer,wide,90.0,computed,0.32,67.9,48/70,yes,20/20,VETO — above its own 10y multiple,0.0188,0.0600,no,904.77,208.94,-1.945,1.19,401246326156
CMI,CUMMINS INC,industrials,narrow,79.0,computed,0.34,67.1,47/70,yes,20/20,VETO — above its own 10y multiple,0.0382,0.0800,no,556.68,220.99,-0.657,2.12,76635754609
HD,"HOME DEPOT, INC.",consumer,wide,81.0,computed,0.34,67.1,47/70,yes,20/20,,0.0416,0.0600,no,308.73,159.52,-0.281,0.02,308011735876
MKTX,MARKETAXESS HOLDINGS INC,fee_business,narrow,75.6,computed,0.35,66.4,42/64,yes,20/20,,0.0587,0.0800,no,163.00,109.26,0.029,-1.58,5736441233
