first_seen,run_date,ticker,name,module,score,durability,moat,price,buy_price,owner_earnings_yield,hurdle,clears_hurdle,status,note
2026-09-11,2026-09-11,YUMC,"Yum China Holdings, Inc.",consumer,83.6,69.0,narrow,42.33,31.39,0.0693,0.0800,no,watchlist,first appearance on the list
2026-09-11,2026-09-11,TOL,"Toll Brothers, Inc.",industrials,82.1,51.0,uncertain,134.93,132.93,0.0984,0.0800,yes,cleared,first appearance on the list
2026-09-11,2026-09-11,SFM,"Sprouts Farmers Market, Inc.",consumer,81.4,89.0,wide,72.76,49.14,0.0560,0.0600,no,watchlist,first appearance on the list
2026-09-11,2026-09-11,ADBE,ADOBE INC.,software,78.6,91.0,wide,252.23,197.84,0.0624,0.0600,yes,cleared,first appearance on the list
2026-09-11,2026-09-11,GL,GLOBE LIFE INC.,financials,77.3,34.4,uncertain,171.03,136.55,0.0699,0.0800,no,watchlist,first appearance on the list
2026-09-11,2026-09-11,ULTA,"Ulta Beauty, Inc.",consumer,77.1,95.0,wide,546.78,358.53,0.0523,0.0600,no,watchlist,first appearance on the list
2026-09-11,2026-09-11,SEIC,SEI INVESTMENTS CO,fee_business,68.0,66.7,narrow,106.93,39.64,0.0336,0.0800,no,watchlist,first appearance on the list
2026-09-11,2026-09-11,COST,COSTCO WHOLESALE CORP /NEW,consumer,67.9,90.0,wide,904.77,208.94,0.0188,0.0600,no,watchlist,first appearance on the list
2026-09-11,2026-09-11,CMI,CUMMINS INC,industrials,67.1,79.0,narrow,556.68,220.99,0.0382,0.0800,no,watchlist,first appearance on the list
2026-09-11,2026-09-11,HD,"HOME DEPOT, INC.",consumer,67.1,81.0,wide,308.73,159.52,0.0416,0.0600,no,watchlist,first appearance on the list
2026-09-11,2026-09-11,MKTX,MARKETAXESS HOLDINGS INC,fee_business,66.4,75.6,narrow,163.00,109.26,0.0587,0.0800,no,watchlist,first appearance on the list
2026-09-11,2026-09-11,IDXX,IDEXX LABORATORIES INC /DE,healthcare,65.7,73.0,narrow,504.70,136.03,0.0224,0.0800,no,watchlist,first appearance on the list
2026-09-11,2026-09-11,GGG,GRACO INC,industrials,63.6,73.0,narrow,76.70,28.94,0.0402,0.0800,no,watchlist,first appearance on the list
2026-09-11,2026-09-11,DCI,DONALDSON Co INC,industrials,62.9,61.0,narrow,89.22,32.56,0.0350,0.0800,no,watchlist,first appearance on the list
