ticker,name,module,moat,durability,moat_source,margin_of_safety,score,points,priced,valuation_coverage,lens_c_veto,owner_earnings_yield,hurdle,clears_hurdle,price,buy_price,discount_to_iv,ev_ebit_vs_history_sd,market_cap
ADBE,ADOBE INC.,software,wide,91.0,computed,0.32,78.6,55/70,yes,20/20,,0.0630,0.0600,yes,249.85,197.84,0.139,-2.37,99315377426
AIT,APPLIED INDUSTRIAL TECHNOLOGIES INC,industrials,uncertain,49.0,computed,0.40,57.1,40/70,yes,20/20,,0.0334,0.0800,no,316.70,118.45,-0.599,0.46,11622528143
CDNS,CADENCE DESIGN SYSTEMS INC,software,narrow,74.4,computed,0.35,60.7,42/70,yes,20/20,,0.0147,0.0800,no,284.35,48.30,-2.820,0.21,78427094453
CHRW,"C. H. ROBINSON WORLDWIDE, INC.",industrials,narrow,69.0,computed,0.36,57.1,40/70,yes,20/20,VETO — above its own 10y multiple,0.0289,0.0800,no,152.28,39.55,-1.457,1.61,17794109425
CMI,CUMMINS INC,industrials,narrow,79.0,computed,0.34,67.1,47/70,yes,20/20,VETO — above its own 10y multiple,0.0389,0.0800,no,546.91,220.99,-0.628,2.01,75290080888
COST,COSTCO WHOLESALE CORP /NEW,consumer,wide,90.0,computed,0.32,67.9,48/70,yes,20/20,VETO — above its own 10y multiple,0.0189,0.0600,no,901.24,208.94,-1.933,1.17,399680832986
DCI,DONALDSON Co INC,industrials,narrow,61.0,computed,0.38,62.9,44/70,yes,20/20,,0.0362,0.0800,no,88.18,33.33,-0.646,0.46,10220457716
DXCM,DEXCOM INC,healthcare,narrow,63.0,computed,0.37,52.9,37/70,yes,20/20,,0.0187,0.0800,no,84.26,17.68,-1.983,-0.88,31796418865
EME,"EMCOR Group, Inc.",industrials,narrow,79.0,computed,0.34,60.7,42/70,yes,20/20,VETO — above its own 10y multiple,0.0318,0.0800,no,743.18,277.90,-0.760,2.41,32781816666
EW,Edwards Lifesciences Corp,healthcare,narrow,57.0,computed,0.39,52.1,36/70,yes,20/20,,0.0304,0.0800,no,86.39,25.56,-1.075,0.05,49798076065
FIVE,"FIVE BELOW, INC",consumer,narrow,73.0,computed,0.35,70.7,50/70,yes,20/20,,0.0241,0.0800,no,244.17,65.35,-1.414,-0.07,13442543625
FIX,COMFORT SYSTEMS USA INC,industrials,narrow,76.0,computed,0.35,53.6,38/70,yes,20/20,VETO — above its own 10y multiple,0.0095,0.0800,no,1583.00,179.02,-4.765,5.72,55712622807
FSS,FEDERAL SIGNAL CORP /DE/,industrials,narrow,68.0,computed,0.36,57.1,40/70,yes,20/20,,0.0352,0.0800,no,113.25,46.45,-0.551,0.54,6913267486
GGG,GRACO INC,industrials,narrow,73.0,computed,0.35,63.6,44/70,yes,20/20,,0.0438,0.0800,no,75.25,30.93,-0.572,-0.48,12187025256
GL,GLOBE LIFE INC.,financials,uncertain,34.4,computed,0.43,77.3,50/64,yes,20/20,,0.0700,0.0800,no,170.74,136.55,0.289,0.07,13121275002
GWW,"W.W. GRAINGER, INC.",industrials,wide,83.0,computed,0.33,61.4,43/70,yes,20/20,VETO — above its own 10y multiple,0.0297,0.0600,no,1267.02,446.86,-0.888,2.75,59677600718
HD,"HOME DEPOT, INC.",consumer,wide,81.0,computed,0.34,67.1,47/70,yes,20/20,,0.0421,0.0600,no,304.45,159.52,-0.263,-0.06,303746618814
IDXX,IDEXX LABORATORIES INC /DE,healthcare,narrow,73.0,computed,0.35,65.7,46/70,yes,20/20,,0.0222,0.0800,no,509.36,136.03,-1.419,-0.93,40127948091
ISRG,INTUITIVE SURGICAL INC,healthcare,narrow,61.0,computed,0.38,55.7,39/70,yes,20/20,,0.0190,0.0800,no,362.27,75.64,-1.979,-0.71,127982030945
ITT,ITT INC.,industrials,narrow,56.0,computed,0.39,51.4,36/70,yes,20/20,VETO — above its own 10y multiple,0.0309,0.0800,no,195.76,49.38,-1.426,1.92,17500943508
LECO,LINCOLN ELECTRIC HOLDINGS INC,industrials,narrow,60.0,computed,0.38,60.7,42/70,yes,20/20,,0.0361,0.0800,no,249.30,109.52,-0.411,0.62,13588285386
LII,LENNOX INTERNATIONAL INC,industrials,narrow,69.0,computed,0.36,78.6,55/70,yes,20/20,,0.0625,0.0800,no,370.71,273.26,0.134,-2.24,12900695839
LOGI,LOGITECH INTERNATIONAL S.A.,software,wide,89.0,computed,0.32,77.1,54/70,yes,20/20,,0.0505,0.0600,no,100.04,55.62,-0.220,-0.30,14325276412
MKTX,MARKETAXESS HOLDINGS INC,fee_business,narrow,75.6,computed,0.35,66.4,42/64,yes,20/20,,0.0587,0.0800,no,163.18,109.26,0.028,-1.57,5742951831
REGN,"REGENERON PHARMACEUTICALS, INC.",healthcare,narrow,64.0,computed,0.37,56.4,40/70,yes,20/20,,0.0645,0.0800,no,798.34,545.55,0.081,0.12,75008125040
RMD,RESMED INC,healthcare,narrow,69.0,computed,0.36,60.0,42/70,yes,20/20,,0.0487,0.0800,no,220.45,123.48,-0.139,-1.61,31799700652
SEIC,SEI INVESTMENTS CO,fee_business,narrow,66.7,computed,0.37,68.0,44/64,yes,20/20,,0.0335,0.0800,no,107.34,39.64,-0.715,0.59,12882858556
SFM,"Sprouts Farmers Market, Inc.",consumer,wide,89.0,computed,0.32,81.4,57/70,yes,20/20,,0.0562,0.0600,no,72.54,49.14,-0.001,-0.61,6764182802
SSD,"Simpson Manufacturing Co., Inc.",industrials,narrow,74.0,computed,0.35,60.0,42/70,yes,20/20,,0.0493,0.0800,no,172.54,100.92,-0.108,-0.19,7071701880
THG,"HANOVER INSURANCE GROUP, INC.",financials,uncertain,28.9,computed,0.44,57.8,37/64,yes,20/20,,0.0538,0.0800,no,224.71,110.51,-0.134,-0.37,7824625834
TJX,TJX COMPANIES INC /DE/,consumer,narrow,66.0,computed,0.37,60.6,40/66,yes,16/20,,0.0359,0.0800,no,126.35,50.08,-0.595,,138981720928
UI,Ubiquiti Inc.,software,wide,80.0,computed,0.34,62.9,44/70,yes,20/20,,0.0229,0.0600,no,530.93,145.47,-1.409,-0.48,32136635818
ULTA,"Ulta Beauty, Inc.",consumer,wide,95.0,computed,0.31,77.1,54/70,yes,20/20,,0.0531,0.0600,no,539.40,358.53,-0.038,-0.15,23063380901
YUMC,"Yum China Holdings, Inc.",consumer,narrow,69.0,computed,0.36,83.6,58/70,yes,20/20,,0.0694,0.0800,no,42.29,31.39,0.140,-0.73,14484266235
